Œﬂ≤›ƒñºèÃ,TD(m),Çwç¿ïW(m),Çxç¿ïW(m),çÇÇ≥(m),ï˚à (deg),ÀﬂØ¡›∏ﬁ(deg)
653+36.000      ,146,-102129.877,-10407.51215,54.825,248.7235513,0.859372244
653+35.000      ,147,-102130.24,-10408.44396,54.84,248.7120921,0.859372244
653+34.000      ,148,-102130.6032,-10409.37569,54.855,248.700633,0.859372244
653+33.000      ,149,-102130.9665,-10410.30735,54.87,248.6891738,0.859372244
653+32.000      ,150,-102131.33,-10411.23894,54.885,248.6777146,0.859372244
653+31.000      ,151,-102131.6937,-10412.17045,54.9,248.6662555,0.859372244
653+30.000      ,152,-102132.0576,-10413.10189,54.915,248.6547963,0.859372244
653+29.000      ,153,-102132.4217,-10414.03326,54.93,248.6433372,0.859372244
653+28.000      ,154,-102132.7859,-10414.96455,54.945,248.631878,0.859372244
653+27.000      ,155,-102133.1504,-10415.89577,54.96,248.6204189,0.859372244
653+26.000      ,156,-102133.515,-10416.82692,54.975,248.6089597,0.859372244
653+25.000      ,157,-102133.8799,-10417.758,54.99,248.5975006,0.859372244
653+24.000      ,158,-102134.2449,-10418.689,55.005,248.5860414,0.859372244
653+23.000      ,159,-102134.6101,-10419.61993,55.02,248.5745822,0.859372244
653+22.000      ,160,-102134.9755,-10420.55079,55.035,248.5631231,0.859372244
653+21.000      ,161,-102135.341,-10421.48158,55.05,248.5516639,0.859372244
653+20.000      ,162,-102135.7068,-10422.41229,55.065,248.5402048,0.859372244
653+19.000      ,163,-102136.0727,-10423.34292,55.08,248.5287456,0.859372244
653+18.000      ,164,-102136.4388,-10424.27349,55.095,248.5172865,0.859372244
653+17.000      ,165,-102136.8052,-10425.20398,55.11,248.5058273,0.859372244
653+16.000      ,166,-102137.1717,-10426.1344,55.125,248.4943681,0.859372244
653+15.000      ,167,-102137.5383,-10427.06474,55.14,248.482909,0.859372244
653+14.000      ,168,-102137.9052,-10427.99502,55.155,248.4714498,0.859372244
653+13.000      ,169,-102138.2723,-10428.92521,55.17,248.4599907,0.859372244
653+12.000      ,170,-102138.6395,-10429.85534,55.185,248.4485315,0.859372244
653+11.000      ,171,-102139.0069,-10430.78539,55.2,248.4370724,0.859372244
653+10.000      ,172,-102139.3746,-10431.71537,55.215,248.4256132,0.859372244
653+9.000       ,173,-102139.7424,-10432.64527,55.23,248.4141541,0.859372244
653+8.000       ,174,-102140.1104,-10433.5751,55.245,248.4026949,0.859372244
653+7.000       ,175,-102140.4785,-10434.50486,55.26,248.3912357,0.859372244
653+6.000       ,176,-102140.8469,-10435.43454,55.275,248.3797766,0.859372244
653+5.000       ,177,-102141.2154,-10436.36415,55.29,248.3683174,0.859372244
653+4.000       ,178,-102141.5842,-10437.29369,55.305,248.3568583,0.859372244
653+3.000       ,179,-102141.9531,-10438.22315,55.32,248.3453991,0.859372244
653+2.000       ,180,-102142.3222,-10439.15254,55.335,248.33394,0.859372244
653+1.000       ,181,-102142.6915,-10440.08185,55.35,248.3224808,0.859372244
653+0.000       ,182,-102143.061,-10441.01109,55.365,248.3110217,0.859372244
652+99.000      ,183,-102143.4306,-10441.94026,55.38,248.2995625,0.859372244
652+98.000      ,184,-102143.8005,-10442.86935,55.395,248.2881033,0.859372244
652+97.000      ,185,-102144.1705,-10443.79837,55.41,248.2766442,0.859372244
652+96.000      ,186,-102144.5407,-10444.72732,55.425,248.265185,0.859372244
652+95.000      ,187,-102144.9111,-10445.65619,55.44,248.2537259,0.859372244
652+94.000      ,188,-102145.2817,-10446.58498,55.455,248.2422667,0.859372244
652+93.000      ,189,-102145.6525,-10447.51371,55.47,248.2308076,0.859372244
652+92.000      ,190,-102146.0234,-10448.44235,55.485,248.2193484,0.859372244
652+91.000      ,191,-102146.3946,-10449.37093,55.5,248.2078893,0.859372244
652+90.000      ,192,-102146.7659,-10450.29943,55.515,248.1964301,0.859372244
652+89.000      ,193,-102147.1374,-10451.22785,55.53,248.1849709,0.859372244
652+88.000      ,194,-102147.5091,-10452.15621,55.545,248.1735118,0.859372244
652+87.000      ,195,-102147.881,-10453.08448,55.56,248.1620526,0.859372244
652+86.000      ,196,-102148.2531,-10454.01268,55.575,248.1505935,0.859372244
652+85.000      ,197,-102148.6254,-10454.94081,55.59,248.1391343,0.859372244
652+84.000      ,198,-102148.9978,-10455.86887,55.605,248.1276752,0.859372244
652+83.000      ,199,-102149.3704,-10456.79685,55.62,248.116216,0.859372244
652+82.000      ,200,-102149.7433,-10457.72475,55.635,248.1047568,0.859372244
652+81.000      ,201,-102150.1163,-10458.65258,55.65,248.0932977,0.859372244
652+80.000      ,202,-102150.4895,-10459.58033,55.665,248.0818385,0.859372244
652+79.000      ,203,-102150.8628,-10460.50802,55.68,248.0703794,0.859372244
652+78.000      ,204,-102151.2364,-10461.43562,55.695,248.0589202,0.859372244
652+77.000      ,205,-102151.6101,-10462.36315,55.71,248.0474611,0.859372244
652+76.000      ,206,-102151.9841,-10463.29061,55.725,248.0360019,0.859372244
652+75.000      ,207,-102152.3582,-10464.21799,55.74,248.0245428,0.859372244
652+74.000      ,208,-102152.7325,-10465.1453,55.755,248.0130836,0.859372244
652+73.000      ,209,-102153.107,-10466.07253,55.77,248.0016244,0.859372244
652+72.000      ,210,-102153.4817,-10466.99969,55.785,247.9901653,0.859372244
652+71.000      ,211,-102153.8565,-10467.92677,55.8,247.9787061,0.859372244
652+70.000      ,212,-102154.2316,-10468.85378,55.815,247.967247,0.859372244
652+69.000      ,213,-102154.6068,-10469.78071,55.83,247.9557878,0.859372244
652+68.000      ,214,-102154.9822,-10470.70756,55.845,247.9443287,0.859372244
652+67.000      ,215,-102155.3578,-10471.63435,55.86,247.9328695,0.859372244
652+66.000      ,216,-102155.7336,-10472.56105,55.875,247.9214104,0.859372244
652+65.000      ,217,-102156.1096,-10473.48768,55.89,247.9099512,0.859372244
652+64.000      ,218,-102156.4857,-10474.41424,55.905,247.898492,0.859372244
652+63.000      ,219,-102156.862,-10475.34072,55.92,247.8870329,0.859372244
652+62.000      ,220,-102157.2386,-10476.26713,55.935,247.8755737,0.859372244
652+61.000      ,221,-102157.6153,-10477.19346,55.95,247.8641146,0.859372244
652+60.000      ,222,-102157.9922,-10478.11971,55.965,247.8526554,0.859372244
