,計測日時,ｻｲｸﾙNo,TD(m),STA,実TD,切羽TD,切羽からの距離,計測経過日数,沈下量,支保寸法,吹付厚,ﾛｯｸﾎﾞﾙﾄ数,ﾛｯｸﾎﾞﾙﾄ長,覆工厚,土被り高さ,岩石グループ,岩石名コード,加重平均評価点,補助工法の緒元,増し支保工の緒元,計測条件・状態等,インバートの早期障害,支保工種,支保パターン2,圧縮強度,風化変質,割目間隔,割目状態,割目の方向・平行,湧水量,劣化,評価点,最終沈下量との差分,position_id,補助工法の緒元_bit,増し支保工の緒元_bit,計測条件・状態等_bit,インバートの早期障害_bit,支保工種_numeric,支保パターン2_numeric,pred,mode
2879,2007-11-14,678.0,764.0,STA 647+18,763.095,799.28,36.178999999999974,12,-5.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.0,2,1,0,0,0,-1,-1,-0.7649999999999996,train
2880,2007-11-15,678.0,764.0,STA 647+18,763.096,806.883,43.78200000000004,13,-5.8,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.20000000000000018,2,1,0,0,0,-1,-1,-1.8590000000000007,train
2881,2007-11-20,678.0,764.0,STA 647+18,763.098,816.098,52.99699999999996,18,-4.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.8999999999999995,2,1,0,0,0,-1,-1,-0.9170000000000009,train
2882,2007-11-23,678.0,764.0,STA 647+18,763.097,826.838,63.736999999999966,21,-5.1,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-0.5,2,1,0,0,0,-1,-1,-0.5219999999999998,train
2883,2007-11-30,678.0,764.0,STA 647+18,763.097,857.6,94.49900000000002,28,-5.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,0.0,2,1,0,0,0,-1,-1,-0.032,train
2884,2007-11-10,705.0,794.0,STA 646+88,795.546,796.9780000000001,1.4320000000000164,0,-0.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-7.3999999999999995,2,1,0,0,0,-1,-1,-6.864499999999992,train
2885,2007-11-12,705.0,794.0,STA 646+88,795.546,798.8,3.2539999999999054,2,-1.5,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-6.6,2,1,0,0,0,-1,-1,-9.811500000000004,train
2886,2007-11-13,705.0,794.0,STA 646+88,795.546,798.8,3.2539999999999054,3,-1.6,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-6.5,2,1,0,0,0,-1,-1,-7.429500000000001,train
2887,2007-11-14,705.0,794.0,STA 646+88,795.546,799.272,3.725999999999999,4,-1.9,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-6.199999999999999,2,1,0,0,0,-1,-1,-6.510500000000004,train
2888,2007-11-15,705.0,794.0,STA 646+88,795.547,806.867,11.320999999999913,5,-6.7,200,250,8.0,4.000,420,7.0,3.0,29.0,22.75,鏡吹付、AGF,,,,坑口-2(断熱材あり）,坑口-2(断）,5.0,4.0,4.0,4.0,0.0,1.0,1.0,17.0,-1.3999999999999995,2,1,0,0,0,-1,-1,-2.6490000000000014,train
