"Œﬂ≤›ƒñºèÃ","ãóó£(m)","Çwç¿ïW(m)","Çxç¿ïW(m)","çÇÇ≥(m)","ï˚à (deg)","ÀﬂØ¡›∏ﬁ(deg)"
"5594+6.000      ",526,-173583.066485946,-1573.87401404035,38.2589879519123,308.037694474012,1.52370843111758
"5594+5.000      ",527,-173582.450306178,-1574.66161958427,38.2855879519123,308.037694474012,1.52370843111758
"5594+4.000      ",528,-173581.834126409,-1575.44922512819,38.3121879519123,308.037694474012,1.52370843111758
"5594+3.000      ",529,-173581.217946641,-1576.23683067212,38.3387879519123,308.037694474012,1.52370843111758
"5594+2.000      ",530,-173580.601766872,-1577.02443621604,38.3653879519123,308.037694474012,1.52370843111758
"5594+1.000      ",531,-173579.985587103,-1577.81204175996,38.3919879519123,308.037694474012,1.52370843111758
"5594+0.000      ",532,-173579.369407335,-1578.59964730388,38.4185879519123,308.037694474012,1.52370843111758
"5593+9.000      ",533,-173578.753227566,-1579.38725284781,38.4451879519123,308.037694474012,1.52370843111758
"5593+8.000      ",534,-173578.137047798,-1580.17485839173,38.4717879519123,308.037694474012,1.52370843111758
"5593+7.000      ",535,-173577.520868029,-1580.96246393565,38.4983879519123,308.037694474012,1.52370843111758
"5593+6.000      ",536,-173576.904688261,-1581.75006947957,38.5249879519123,308.037694474012,1.52370843111758
"5593+5.000      ",537,-173576.288508492,-1582.5376750235,38.5515879519123,308.037694474012,1.52370843111758
"5593+4.000      ",538,-173575.672328724,-1583.32528056742,38.5781879519123,308.037694474012,1.52370843111758
"5593+3.000      ",539,-173575.056148955,-1584.11288611134,38.6047879519123,308.037694474012,1.52370843111758
"5593+2.000      ",540,-173574.439969186,-1584.90049165526,38.6313879519123,308.037694474012,1.52370843111758
"5593+1.000      ",541,-173573.823789418,-1585.68809719919,38.6579879519123,308.037694474012,1.52370843111758
"5593+0.000      ",542,-173573.207609649,-1586.47570274311,38.6845879519123,308.037694474012,1.52370843111758
"5592+9.000      ",543,-173572.591429881,-1587.26330828703,38.7111879519123,308.037694474012,1.52370843111758
"5592+8.000      ",544,-173571.975250112,-1588.05091383096,38.7377879519123,308.037694474012,1.52370843111758
"5592+7.000      ",545,-173571.359070344,-1588.83851937488,38.7643879519123,308.037694474012,1.52370843111758
"5592+6.000      ",546,-173570.742890575,-1589.6261249188,38.7909879519123,308.037694474012,1.52370843111758
"5592+5.000      ",547,-173570.126710807,-1590.41373046272,38.8175879519123,308.037694474012,1.52370843111758
"5592+4.000      ",548,-173569.510531038,-1591.20133600665,38.8441879519123,308.037694474012,1.52370843111758
"5592+3.000      ",549,-173568.894351269,-1591.98894155057,38.8707879519123,308.037694474012,1.52370843111758
"5592+2.000      ",550,-173568.278171501,-1592.77654709449,38.8973879519123,308.037694474012,1.52370843111758
"5592+1.000      ",551,-173567.661991732,-1593.56415263841,38.9239879519123,308.037694474012,1.52370843111758
"5592+0.000      ",552,-173567.045811964,-1594.35175818234,38.9505879519123,308.037694474012,1.52370843111758
"5591+9.000      ",553,-173566.429632195,-1595.13936372626,38.9771879519123,308.037694474012,1.52370843111758
"5591+8.000      ",554,-173565.813452427,-1595.92696927018,39.0037879519123,308.037694474012,1.52370843111758
"5591+7.000      ",555,-173565.197272658,-1596.7145748141,39.0303879519123,308.037694474012,1.52370843111758
"5591+6.000      ",556,-173564.58109289,-1597.50218035803,39.0569879519123,308.037694474012,1.52370843111758
"5591+5.000      ",557,-173563.964913121,-1598.28978590195,39.0835879519123,308.037694474012,1.52370843111758
"5591+4.000      ",558,-173563.348733352,-1599.07739144587,39.1101879519123,308.037694474012,1.52370843111758
"5591+3.000      ",559,-173562.732553584,-1599.8649969898,39.1367879519123,308.037694474012,1.52370843111758
"5591+2.000      ",560,-173562.116373815,-1600.65260253372,39.1633879519123,308.037694474012,1.52370843111758
"5591+1.000      ",561,-173561.500194047,-1601.44020807764,39.1899879519123,308.037694474012,1.52370843111758
"5591+0.000      ",562,-173560.884014278,-1602.22781362156,39.2165879519123,308.037694474012,1.52370843111758
"5590+9.000      ",563,-173560.26783451,-1603.01541916549,39.2431879519123,308.037694474012,1.52370843111758
"5590+8.000      ",564,-173559.651654741,-1603.80302470941,39.2697879519123,308.037694474012,1.52370843111758
"5590+7.000      ",565,-173559.035474972,-1604.59063025333,39.2963879519123,308.037694474012,1.52370843111758
"5590+6.000      ",566,-173558.419295204,-1605.37823579725,39.3229879519123,308.037694474012,1.52370843111758
"5590+5.000      ",567,-173557.803115435,-1606.16584134118,39.3495879519123,308.037694474012,1.52370843111758
"5590+4.000      ",568,-173557.186935667,-1606.9534468851,39.3761879519123,308.037694474012,1.52370843111758
"5590+3.000      ",569,-173556.570755898,-1607.74105242902,39.4027879519123,308.037694474012,1.52370843111758
"5590+2.000      ",570,-173555.95457613,-1608.52865797294,39.4293879519123,308.037694474012,1.52370843111758
"5590+1.000      ",571,-173555.338396361,-1609.31626351687,39.4559879519123,308.037694474012,1.52370843111758
"5590+0.000      ",572,-173554.722216593,-1610.10386906079,39.4825879519123,308.037694474012,1.52370843111758
"5589+9.000      ",573,-173554.106036824,-1610.89147460471,39.5091879519123,308.037694474012,1.52370843111758
"5589+8.000      ",574,-173553.489857055,-1611.67908014864,39.5357879519123,308.037694474012,1.52370843111758
"5589+7.000      ",575,-173552.873677287,-1612.46668569256,39.5623879519123,308.037694474012,1.52370843111758
"5589+6.000      ",576,-173552.257497518,-1613.25429123648,39.5889879519123,308.037694474012,1.52370843111758
"5589+5.000      ",577,-173551.64131775,-1614.0418967804,39.6155879519123,308.037694474012,1.52370843111758
"5589+4.000      ",578,-173551.025137981,-1614.82950232433,39.6421879519123,308.037694474012,1.52370843111758
"5589+3.000      ",579,-173550.408958213,-1615.61710786825,39.6687879519123,308.037694474012,1.52370843111758
"5589+2.000      ",580,-173549.792778444,-1616.40471341217,39.6953879519123,308.037694474012,1.52370843111758
"5589+1.000      ",581,-173549.176598676,-1617.19231895609,39.7219879519123,308.037694474012,1.52370843111758
"5589+0.000      ",582,-173548.560418907,-1617.97992450002,39.7485879519123,308.037694474012,1.52370843111758
"5588+9.000      ",583,-173547.944239138,-1618.76753004394,39.7751879519123,308.037694474012,1.52370843111758
"5588+8.000      ",584,-173547.32805937,-1619.55513558786,39.8017879519123,308.037694474012,1.52370843111758
"5588+7.000      ",585,-173546.711879601,-1620.34274113178,39.8283879519123,308.037694474012,1.52370843111758
"5588+6.000      ",586,-173546.095699833,-1621.13034667571,39.8549879519123,308.037694474012,1.52370843111758
"5588+5.000      ",587,-173545.479520064,-1621.91795221963,39.8815879519123,308.037694474012,1.52370843111758
"5588+4.000      ",588,-173544.863340296,-1622.70555776355,39.9081879519123,308.037694474012,1.52370843111758
"5588+3.000      ",589,-173544.247160527,-1623.49316330748,39.9347879519123,308.037694474012,1.52370843111758
"5588+2.000      ",590,-173543.630980758,-1624.2807688514,39.9613879519123,308.037694474012,1.52370843111758
"5588+1.000      ",591,-173543.01480099,-1625.06837439532,39.9879879519123,308.037694474012,1.52370843111758
"5588+0.000      ",592,-173542.398621221,-1625.85597993924,40.0145879519123,308.037694474012,1.52370843111758
"5587+9.000      ",593,-173541.782441453,-1626.64358548317,40.0411879519123,308.037694474012,1.52370843111758
"5587+8.000      ",594,-173541.166261684,-1627.43119102709,40.0677879519123,308.037694474012,1.52370843111758
"5587+7.000      ",595,-173540.550081916,-1628.21879657101,40.0943879519123,308.037694474012,1.52370843111758
"5587+6.000      ",596,-173539.933902147,-1629.00640211493,40.1209879519123,308.037694474012,1.52370843111758
"5587+5.000      ",597,-173539.317722379,-1629.79400765886,40.1475879519123,308.037694474012,1.52370843111758
"5587+4.000      ",598,-173538.70154261,-1630.58161320278,40.1741879519123,308.037694474012,1.52370843111758
"5587+3.000      ",599,-173538.085362841,-1631.3692187467,40.2007879519123,308.037694474012,1.52370843111758
"5587+2.000      ",600,-173537.469183073,-1632.15682429062,40.2273879519123,308.037694474012,1.52370843111758
"5587+1.000      ",601,-173536.853003304,-1632.94442983455,40.2539879519123,308.037694474012,1.52370843111758
"5587+0.000      ",602,-173536.236823536,-1633.73203537847,40.2805879519123,308.037694474012,1.52370843111758
"5586+9.000      ",603,-173535.620643767,-1634.51964092239,40.3071879519123,308.037694474012,1.52370843111758
"5586+8.000      ",604,-173535.004463999,-1635.30724646632,40.3337879519123,308.037694474012,1.52370843111758
"5586+7.000      ",605,-173534.38828423,-1636.09485201024,40.3603879519123,308.037694474012,1.52370843111758
"5586+6.000      ",606,-173533.772104462,-1636.88245755416,40.3869879519123,308.037694474012,1.52370843111758
"5586+5.000      ",607,-173533.155924693,-1637.67006309808,40.4135879519123,308.037694474012,1.52370843111758
"5586+4.000      ",608,-173532.539744924,-1638.45766864201,40.4401879519123,308.037694474012,1.52370843111758
"5586+3.000      ",609,-173531.923565156,-1639.24527418593,40.4667879519123,308.037694474012,1.52370843111758
"5586+2.000      ",610,-173531.307385387,-1640.03287972985,40.4933879519123,308.037694474012,1.52370843111758
"5586+1.000      ",611,-173530.691205619,-1640.82048527377,40.5199879519123,308.037694474012,1.52370843111758
"5586+0.000      ",612,-173530.07502585,-1641.6080908177,40.5465879519123,308.037694474012,1.52370843111758
"5585+9.000      ",613,-173529.458846082,-1642.39569636162,40.5731879519123,308.037694474012,1.52370843111758
"5585+8.000      ",614,-173528.842666313,-1643.18330190554,40.5997879519123,308.037694474012,1.52370843111758
"5585+7.000      ",615,-173528.226486544,-1643.97090744946,40.6263879519123,308.037694474012,1.52370843111758
"5585+6.000      ",616,-173527.610306776,-1644.75851299339,40.6529879519123,308.037694474012,1.52370843111758
"5585+5.000      ",617,-173526.994127007,-1645.54611853731,40.6795879519123,308.037694474012,1.52370843111758
"5585+4.000      ",618,-173526.377947239,-1646.33372408123,40.7061879519123,308.037694474012,1.52370843111758
"5585+3.000      ",619,-173525.76176747,-1647.12132962515,40.7327879519123,308.037694474012,1.52370843111758
"5585+2.000      ",620,-173525.145587702,-1647.90893516908,40.7593879519123,308.037694474012,1.52370843111758
"5585+1.000      ",621,-173524.529407933,-1648.696540713,40.7859879519123,308.037694474012,1.52370843111758
"5585+0.000      ",622,-173523.913228165,-1649.48414625692,40.8125879519123,308.037694474012,1.52370843111758
"5584+9.000      ",623,-173523.297048396,-1650.27175180085,40.8391879519123,308.037694474012,1.52370843111758
"5584+8.000      ",624,-173522.680868627,-1651.05935734477,40.8657879519123,308.037694474012,1.52370843111758
"5584+7.000      ",625,-173522.064688859,-1651.84696288869,40.8923879519123,308.037694474012,1.52370843111758
"5584+6.000      ",626,-173521.44850909,-1652.63456843261,40.9189879519123,308.037694474012,1.52370843111758
"5584+5.000      ",627,-173520.832329322,-1653.42217397654,40.9455879519123,308.037694474012,1.52370843111758
"5584+4.000      ",628,-173520.216149553,-1654.20977952046,40.9721879519123,308.037694474012,1.52370843111758
"5584+3.000      ",629,-173519.599969785,-1654.99738506438,40.9987879519123,308.037694474012,1.52370843111758
"5584+2.000      ",630,-173518.983790016,-1655.7849906083,41.0253879519123,308.037694474012,1.52370843111758
"5584+1.000      ",631,-173518.367610248,-1656.57259615223,41.0519879519123,308.037694474012,1.52370843111758
"5584+0.000      ",632,-173517.751430479,-1657.36020169615,41.0785879519123,308.037694474012,1.52370843111758
"5583+9.000      ",633,-173517.13525071,-1658.14780724007,41.1051879519123,308.037694474012,1.52370843111758
"5583+8.000      ",634,-173516.519070942,-1658.93541278399,41.1317879519123,308.037694474012,1.52370843111758
"5583+7.000      ",635,-173515.902891173,-1659.72301832792,41.1583879519123,308.037694474012,1.52370843111758
"5583+6.000      ",636,-173515.286711405,-1660.51062387184,41.1849879519123,308.037694474012,1.52370843111758
"5583+5.000      ",637,-173514.670531636,-1661.29822941576,41.2115879519123,308.037694474012,1.52370843111758
"5583+4.000      ",638,-173514.054351868,-1662.08583495969,41.2381879519123,308.037694474012,1.52370843111758
"5583+3.000      ",639,-173513.438172099,-1662.87344050361,41.2647879519123,308.037694474012,1.52370843111758
"5583+2.000      ",640,-173512.82199233,-1663.66104604753,41.2913879519123,308.037694474012,1.52370843111758
"5583+1.000      ",641,-173512.205812562,-1664.44865159145,41.3179879519123,308.037694474012,1.52370843111758
"5583+0.000      ",642,-173511.589632793,-1665.23625713538,41.3445879519123,308.037694474012,1.52370843111758
"5582+9.000      ",643,-173510.973453025,-1666.0238626793,41.3711879519123,308.037694474012,1.52370843111758
"5582+8.000      ",644,-173510.357273256,-1666.81146822322,41.3977879519123,308.037694474012,1.52370843111758
"5582+7.000      ",645,-173509.741093488,-1667.59907376714,41.4243879519123,308.037694474012,1.52370843111758
"5582+6.000      ",646,-173509.124913719,-1668.38667931107,41.4509879519123,308.037694474012,1.52370843111758
"5582+5.000      ",647,-173508.508733951,-1669.17428485499,41.4775879519123,308.037694474012,1.52370843111758
"5582+4.000      ",648,-173507.892554182,-1669.96189039891,41.5041879519123,308.037694474012,1.52370843111758
"5582+3.000      ",649,-173507.276374413,-1670.74949594283,41.5307879519123,308.037694474012,1.52370843111758
"5582+2.000      ",650,-173506.660194645,-1671.53710148676,41.5573879519123,308.037694474012,1.52370843111758
"5582+1.000      ",651,-173506.044014876,-1672.32470703068,41.5839879519123,308.037694474012,1.52370843111758
"5582+0.000      ",652,-173505.427835108,-1673.1123125746,41.6105879519123,308.037694474012,1.52370843111758
"5581+9.000      ",653,-173504.811655339,-1673.89991811853,41.6371879519123,308.037694474012,1.52370843111758
"5581+8.000      ",654,-173504.195475571,-1674.68752366245,41.6637879519123,308.037694474012,1.52370843111758
"5581+7.000      ",655,-173503.579295802,-1675.47512920637,41.6903879519123,308.037694474012,1.52370843111758
"5581+6.000      ",656,-173502.963116034,-1676.26273475029,41.7169879519123,308.037694474012,1.52370843111758
"5581+5.000      ",657,-173502.346936265,-1677.05034029422,41.7435879519123,308.037694474012,1.52370843111758
"5581+4.000      ",658,-173501.730756496,-1677.83794583814,41.7701879519123,308.037694474012,1.52370843111758
"5581+3.000      ",659,-173501.114576728,-1678.62555138206,41.7967879519123,308.037694474012,1.52370843111758
"5581+2.000      ",660,-173500.498396959,-1679.41315692598,41.8233879519123,308.037694474012,1.52370843111758
"5581+1.000      ",661,-173499.882217191,-1680.20076246991,41.8499879519123,308.037694474012,1.52370843111758
"5581+0.000      ",662,-173499.266037422,-1680.98836801383,41.8765879519123,308.037694474012,1.52370843111758
"5580+9.000      ",663,-173498.649857654,-1681.77597355775,41.9031879519123,308.037694474012,1.52370843111758
"5580+8.000      ",664,-173498.033677885,-1682.56357910167,41.9297879519123,308.037694474012,1.52370843111758
"5580+7.000      ",665,-173497.417498116,-1683.3511846456,41.9563879519123,308.037694474012,1.52370843111758
"5580+6.000      ",666,-173496.801318348,-1684.13879018952,41.9829879519123,308.037694474012,1.52370843111758
"5580+5.000      ",667,-173496.185138579,-1684.92639573344,42.0095879519123,308.037694474012,1.52370843111758
"5580+4.000      ",668,-173495.568958811,-1685.71400127737,42.0361879519123,308.037694474012,1.52370843111758
"5580+3.000      ",669,-173494.952779042,-1686.50160682129,42.0627879519123,308.037694474012,1.52370843111758
"5580+2.000      ",670,-173494.336599274,-1687.28921236521,42.0893879519123,308.037694474012,1.52370843111758
"5580+1.000      ",671,-173493.720419505,-1688.07681790913,42.1159879519123,308.037694474012,1.52370843111758
"5580+0.000      ",672,-173493.104239737,-1688.86442345306,42.1425879519123,308.037694474012,1.52370843111758
"5579+9.000      ",673,-173492.488059968,-1689.65202899698,42.1691879519123,308.037694474012,1.52370843111758
"5579+8.000      ",674,-173491.871880199,-1690.4396345409,42.1957879519123,308.037694474012,1.52370843111758
"5579+7.000      ",675,-173491.255700431,-1691.22724008482,42.2223879519123,308.037694474012,1.52370843111758
"5579+6.000      ",676,-173490.639520662,-1692.01484562875,42.2489879519123,308.037694474012,1.52370843111758
"5579+5.000      ",677,-173490.023340894,-1692.80245117267,42.2755879519123,308.037694474012,1.52370843111758
"5579+4.000      ",678,-173489.407161125,-1693.59005671659,42.3021879519123,308.037694474012,1.52370843111758
"5579+3.000      ",679,-173488.790981357,-1694.37766226051,42.3287879519123,308.037694474012,1.52370843111758
"5579+2.000      ",680,-173488.174801588,-1695.16526780444,42.3553879519123,308.037694474012,1.52370843111758
"5579+1.000      ",681,-173487.55862182,-1695.95287334836,42.3819879519123,308.037694474012,1.52370843111758
"5579+0.000      ",682,-173486.942442051,-1696.74047889228,42.4085879519123,308.037694474012,1.52370843111758
"5578+9.000      ",683,-173486.326262282,-1697.52808443621,42.4351879519123,308.037694474012,1.52370843111758
"5578+8.000      ",684,-173485.710082514,-1698.31568998013,42.4617879519123,308.037694474012,1.52370843111758
"5578+7.000      ",685,-173485.093902745,-1699.10329552405,42.4883879519123,308.037694474012,1.52370843111758
"5578+6.000      ",686,-173484.477722977,-1699.89090106797,42.5149879519123,308.037694474012,1.52370843111758
"5578+5.000      ",687,-173483.861543208,-1700.6785066119,42.5415879519123,308.037694474012,1.52370843111758
"5578+4.000      ",688,-173483.24536344,-1701.46611215582,42.5681879519123,308.037694474012,1.52370843111758
"5578+3.000      ",689,-173482.629183671,-1702.25371769974,42.5947879519123,308.037694474012,1.52370843111758
"5578+2.000      ",690,-173482.013003903,-1703.04132324366,42.6213879519123,308.037694474012,1.52370843111758
"5578+1.000      ",691,-173481.396824134,-1703.82892878759,42.6479879519123,308.037694474012,1.52370843111758
"5578+0.000      ",692,-173480.780644365,-1704.61653433151,42.6745879519123,308.037694474012,1.52370843111758
"5577+9.000      ",693,-173480.164464597,-1705.40413987543,42.7011879519123,308.037694474012,1.52370843111758
"5577+8.000      ",694,-173479.548284828,-1706.19174541935,42.7277879519123,308.037694474012,1.52370843111758
"5577+7.000      ",695,-173478.93210506,-1706.97935096328,42.7543879519123,308.037694474012,1.52370843111758
"5577+6.000      ",696,-173478.315925291,-1707.7669565072,42.7809879519123,308.037694474012,1.52370843111758
"5577+5.000      ",697,-173477.699745523,-1708.55456205112,42.8075879519123,308.037694474012,1.52370843111758
"5577+4.000      ",698,-173477.083565754,-1709.34216759505,42.8341879519123,308.037694474012,1.52370843111758
"5577+3.000      ",699,-173476.467385985,-1710.12977313897,42.8607879519123,308.037694474012,1.52370843111758
"5577+2.000      ",700,-173475.851206217,-1710.91737868289,42.8873879519123,308.037694474012,1.52370843111758
"5577+1.000      ",701,-173475.235026448,-1711.70498422681,42.9139879519123,308.037694474012,1.52370843111758
"5577+0.000      ",702,-173474.61884668,-1712.49258977074,42.9405879519123,308.037694474012,1.52370843111758
"5576+9.000      ",703,-173474.002666911,-1713.28019531466,42.9671879519123,308.037694474012,1.52370843111758
"5576+8.000      ",704,-173473.386487143,-1714.06780085858,42.9937879519123,308.037694474012,1.52370843111758
"5576+7.000      ",705,-173472.770307374,-1714.8554064025,43.0203879519123,308.037694474012,1.52370843111758
"5576+6.000      ",706,-173472.154127606,-1715.64301194643,43.0469879519123,308.037694474012,1.52370843111758
"5576+5.000      ",707,-173471.537947837,-1716.43061749035,43.0735879519123,308.037694474012,1.52370843111758
"5576+4.000      ",708,-173470.921768068,-1717.21822303427,43.1001879519123,308.037694474012,1.52370843111758
"5576+3.000      ",709,-173470.3055883,-1718.00582857819,43.1267879519123,308.037694474012,1.52370843111758
"5576+2.000      ",710,-173469.689408531,-1718.79343412212,43.1533879519123,308.037694474012,1.52370843111758
"5576+1.000      ",711,-173469.073228763,-1719.58103966604,43.1799879519123,308.037694474012,1.52370843111758
"5576+0.000      ",712,-173468.457048994,-1720.36864520996,43.2065879519123,308.037694474012,1.52370843111758
"5575+9.000      ",713,-173467.840869226,-1721.15625075389,43.2331879519123,308.037694474012,1.52370843111758
"5575+8.000      ",714,-173467.224689457,-1721.94385629781,43.2597879519123,308.037694474012,1.52370843111758
"5575+7.000      ",715,-173466.608509688,-1722.73146184173,43.2863879519123,308.037694474012,1.52370843111758
"5575+6.000      ",716,-173465.99232992,-1723.51906738565,43.3129879519123,308.037694474012,1.52370843111758
"5575+5.000      ",717,-173465.376150151,-1724.30667292958,43.3395879519123,308.037694474012,1.52370843111758
"5575+4.000      ",718,-173464.759970383,-1725.0942784735,43.3661879519123,308.037694474012,1.52370843111758
"5575+3.000      ",719,-173464.143790614,-1725.88188401742,43.3927879519123,308.037694474012,1.52370843111758
"5575+2.000      ",720,-173463.527610846,-1726.66948956134,43.4193879519123,308.037694474012,1.52370843111758
"5575+1.000      ",721,-173462.911431077,-1727.45709510527,43.4459879519123,308.037694474012,1.52370843111758
"5575+0.000      ",722,-173462.295251309,-1728.24470064919,43.4725879519123,308.037694474012,1.52370843111758
"5574+9.000      ",723,-173461.67907154,-1729.03230619311,43.4991879519123,308.037694474012,1.52370843111758
"5574+8.000      ",724,-173461.062891771,-1729.81991173703,43.5257879519123,308.037694474012,1.52370843111758
"5574+7.000      ",725,-173460.446712003,-1730.60751728096,43.5523879519123,308.037694474012,1.52370843111758
"5574+6.000      ",726,-173459.830532234,-1731.39512282488,43.5789879519123,308.037694474012,1.52370843111758
"5574+5.000      ",727,-173459.214352466,-1732.1827283688,43.6055879519123,308.037694474012,1.52370843111758
"5574+4.000      ",728,-173458.598172697,-1732.97033391272,43.6321879519123,308.037694474012,1.52370843111758
"5574+3.000      ",729,-173457.981992929,-1733.75793945665,43.6587879519123,308.037694474012,1.52370843111758
"5574+2.000      ",730,-173457.36581316,-1734.54554500057,43.6853879519123,308.037694474012,1.52370843111758
"5574+1.000      ",731,-173456.749633392,-1735.33315054449,43.7119879519123,308.037694474012,1.52370843111758
"5574+0.000      ",732,-173456.133453623,-1736.12075608842,43.7385879519123,308.037694474012,1.52370843111758
"5573+9.000      ",733,-173455.517273854,-1736.90836163234,43.7651879519123,308.037694474012,1.52370843111758
"5573+8.000      ",734,-173454.901094086,-1737.69596717626,43.7917879519123,308.037694474012,1.52370843111758
"5573+7.000      ",735,-173454.284914317,-1738.48357272018,43.8183879519123,308.037694474012,1.52370843111758
"5573+6.000      ",736,-173453.668734549,-1739.27117826411,43.8449879519123,308.037694474012,1.52370843111758
"5573+5.000      ",737,-173453.05255478,-1740.05878380803,43.8715879519123,308.037694474012,1.52370843111758
"5573+4.000      ",738,-173452.436375012,-1740.84638935195,43.8981879519123,308.037694474012,1.52370843111758
"5573+3.000      ",739,-173451.820195243,-1741.63399489587,43.9247879519123,308.037694474012,1.52370843111758
"5573+2.000      ",740,-173451.204015475,-1742.4216004398,43.9513879519123,308.037694474012,1.52370843111758
"5573+1.000      ",741,-173450.587835706,-1743.20920598372,43.9779879519123,308.037694474012,1.52370843111758
"5573+0.000      ",742,-173449.971655937,-1743.99681152764,44.0045879519123,308.037694474012,1.52370843111758
"5572+9.000      ",743,-173449.355476169,-1744.78441707156,44.0311879519123,308.037694474012,1.52370843111758
"5572+8.000      ",744,-173448.7392964,-1745.57202261549,44.0577879519123,308.037694474012,1.52370843111758
"5572+7.000      ",745,-173448.123116632,-1746.35962815941,44.0843879519123,308.037694474012,1.52370843111758
"5572+6.000      ",746,-173447.506936863,-1747.14723370333,44.1109879519123,308.037694474012,1.52370843111758
"5572+5.000      ",747,-173446.890757095,-1747.93483924726,44.1375879519123,308.037694474012,1.52370843111758
"5572+4.000      ",748,-173446.274577326,-1748.72244479118,44.1641879519123,308.037694474012,1.52370843111758
"5572+3.000      ",749,-173445.658397557,-1749.5100503351,44.1907879519123,308.037694474012,1.52370843111758
"5572+2.000      ",750,-173445.042217789,-1750.29765587902,44.2173879519123,308.037694474012,1.52370843111758
"5572+1.000      ",751,-173444.42603802,-1751.08526142295,44.2439879519123,308.037694474012,1.52370843111758
"5572+0.000      ",752,-173443.809858252,-1751.87286696687,44.2705879519123,308.037694474012,1.52370843111758
"5571+9.000      ",753,-173443.193678483,-1752.66047251079,44.2971879519123,308.037694474012,1.52370843111758
"5571+8.000      ",754,-173442.577498715,-1753.44807805471,44.3237879519123,308.037694474012,1.52370843111758
"5571+7.000      ",755,-173441.961318946,-1754.23568359864,44.3503879519123,308.037694474012,1.52370843111758
"5571+6.000      ",756,-173441.345139178,-1755.02328914256,44.3769879519123,308.037694474012,1.52370843111758
"5571+5.000      ",757,-173440.728959409,-1755.81089468648,44.4035879519123,308.037694474012,1.52370843111758
"5571+4.000      ",758,-173440.11277964,-1756.5985002304,44.4301879519123,308.037694474012,1.52370843111758
"5571+3.000      ",759,-173439.496599872,-1757.38610577433,44.4567879519123,308.037694474012,1.52370843111758
"5571+2.000      ",760,-173438.880420103,-1758.17371131825,44.4833879519123,308.037694474012,1.52370843111758
"5571+1.000      ",761,-173438.264240335,-1758.96131686217,44.5099879519123,308.037694474012,1.52370843111758
"5571+0.000      ",762,-173437.648060566,-1759.7489224061,44.5365879519123,308.037694474012,1.52370843111758
"5570+9.000      ",763,-173437.031880798,-1760.53652795002,44.5631879519123,308.037694474012,1.52370843111758
"5570+8.000      ",764,-173436.415701029,-1761.32413349394,44.5897879519123,308.037694474012,1.52370843111758
"5570+7.000      ",765,-173435.799521261,-1762.11173903786,44.6163879519123,308.037694474012,1.52370843111758
"5570+6.000      ",766,-173435.183341492,-1762.89934458179,44.6429879519123,308.037694474012,1.52370843111758
"5570+5.000      ",767,-173434.567161723,-1763.68695012571,44.6695879519123,308.037694474012,1.52370843111758
"5570+4.000      ",768,-173433.950981955,-1764.47455566963,44.6961879519123,308.037694474012,1.52370843111758
"5570+3.000      ",769,-173433.334802186,-1765.26216121355,44.7227879519123,308.037694474012,1.52370843111758
"5570+2.000      ",770,-173432.718622418,-1766.04976675748,44.7493879519123,308.037694474012,1.52370843111758
"5570+1.000      ",771,-173432.102442649,-1766.8373723014,44.7759879519123,308.037694474012,1.52370843111758
"5570+0.000      ",772,-173431.486262881,-1767.62497784532,44.8025879519123,308.037694474012,1.52370843111758
"5569+9.000      ",773,-173430.870083112,-1768.41258338924,44.8291879519123,308.037694474012,1.52370843111758
"5569+8.000      ",774,-173430.253903343,-1769.20018893317,44.8557879519123,308.037694474012,1.52370843111758
"5569+7.000      ",775,-173429.637723575,-1769.98779447709,44.8823879519123,308.037694474012,1.52370843111758
"5569+6.000      ",776,-173429.021543806,-1770.77540002101,44.9089879519123,308.037694474012,1.52370843111758
"5569+5.000      ",777,-173428.405364038,-1771.56300556494,44.9355879519123,308.037694474012,1.52370843111758
"5569+4.000      ",778,-173427.789184269,-1772.35061110886,44.9621879519123,308.037694474012,1.52370843111758
"5569+3.000      ",779,-173427.173004501,-1773.13821665278,44.9887879519123,308.037694474012,1.52370843111758
"5569+2.000      ",780,-173426.556824732,-1773.9258221967,45.0153879519123,308.037694474012,1.52370843111758
"5569+1.000      ",781,-173425.940644964,-1774.71342774063,45.0419879519123,308.037694474012,1.52370843111758
"5569+0.000      ",782,-173425.324465195,-1775.50103328455,45.0685879519123,308.037694474012,1.52370843111758
"5568+9.000      ",783,-173424.708285426,-1776.28863882847,45.0951879519123,308.037694474012,1.52370843111758
"5568+8.000      ",784,-173424.092105658,-1777.07624437239,45.1217879519123,308.037694474012,1.52370843111758
"5568+7.000      ",785,-173423.475925889,-1777.86384991632,45.1483879519123,308.037694474012,1.52370843111758
"5568+6.000      ",786,-173422.859746121,-1778.65145546024,45.1749879519123,308.037694474012,1.52370843111758
"5568+5.000      ",787,-173422.243566352,-1779.43906100416,45.2015879519123,308.037694474012,1.52370843111758
"5568+4.000      ",788,-173421.627386584,-1780.22666654808,45.2281879519123,308.037694474012,1.52370843111758
"5568+3.000      ",789,-173421.011206815,-1781.01427209201,45.2547879519123,308.037694474012,1.52370843111758
"5568+2.000      ",790,-173420.395027047,-1781.80187763593,45.2813879519123,308.037694474012,1.52370843111758
"5568+1.000      ",791,-173419.778847278,-1782.58948317985,45.3079879519123,308.037694474012,1.52370843111758
"5568+0.000      ",792,-173419.162667509,-1783.37708872378,45.3345879519123,308.037694474012,1.52370843111758
