ﾎﾟｲﾝﾄ名称,距離(m),形成時代,大区分,岩相
16+39.000       ,41.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+40.000       ,42.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+41.000       ,43.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+42.000       ,44.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+43.000       ,45.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+44.000       ,46.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+45.000       ,47.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+46.000       ,48.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+47.000       ,49.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+48.000       ,50.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+49.000       ,51.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+50.000       ,52.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+51.000       ,53.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+52.000       ,54.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+53.000       ,55.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+54.000       ,56.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+55.000       ,57.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+56.000       ,58.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+57.000       ,59.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+58.000       ,60.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+59.000       ,61.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+60.000       ,62.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+61.000       ,63.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+62.000       ,64.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+63.000       ,65.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+64.000       ,66.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+65.000       ,67.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+66.000       ,68.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+67.000       ,69.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+68.000       ,70.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+69.000       ,71.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+70.000       ,72.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+71.000       ,73.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+72.000       ,74.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+73.000       ,75.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+74.000       ,76.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+75.000       ,77.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+76.000       ,78.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+77.000       ,79.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+78.000       ,80.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+79.000       ,81.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+80.000       ,82.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+81.000       ,83.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+82.000       ,84.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+83.000       ,85.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+84.000       ,86.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+85.000       ,87.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+86.000       ,88.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+87.000       ,89.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+88.000       ,90.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+89.000       ,91.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+90.000       ,92.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+91.000       ,93.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+92.000       ,94.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+93.000       ,95.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+94.000       ,96.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+95.000       ,97.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+96.000       ,98.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+97.000       ,99.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+98.000       ,100.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
16+99.000       ,101.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+0.000        ,102.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+1.000        ,103.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+2.000        ,104.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+3.000        ,105.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+4.000        ,106.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+5.000        ,107.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+6.000        ,108.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+7.000        ,109.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+8.000        ,110.0,新生代 新第三紀 中新世 前期ランギアン期〜後期サーラバリアン期,付加体,安山岩・玄武岩質安山岩・粗面安山岩 溶岩・火砕岩 前期中新世後期-中期中新世付加体
17+9.000        ,111.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+10.000       ,112.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+11.000       ,113.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+12.000       ,114.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+13.000       ,115.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+14.000       ,116.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+15.000       ,117.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+16.000       ,118.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+17.000       ,119.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+18.000       ,120.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+19.000       ,121.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+20.000       ,122.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+21.000       ,123.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+22.000       ,124.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+23.000       ,125.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+24.000       ,126.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+25.000       ,127.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+26.000       ,128.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+27.000       ,129.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+28.000       ,130.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+29.000       ,131.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+30.000       ,132.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+31.000       ,133.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+32.000       ,134.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
17+33.000       ,135.0,新生代 第四紀 後期更新世中期〜後期更新世後期,堆積岩,段丘堆積物
